Gene ID	Gene Name or Symbol	Product Description	gene_source_id
TGME49_205230	N/A	hypothetical protein	TGME49_205230
TGME49_205240	N/A	cleft lip and palate transmembrane protein 1 (clptm1) protein	TGME49_205240
TGME49_205250	ROP18	rhoptry protein ROP18	TGME49_205250
TGME49_205265	N/A	transporter, cation channel family protein	TGME49_205265
TGME49_205280	N/A	hypothetical protein	TGME49_205280
TGME49_205290	N/A	glucan phosphatase Laforin	TGME49_205290
TGME49_205300	N/A	hypothetical protein	TGME49_205300
TGME49_205310	N/A	tRNA-Leu	TGME49_205310
TGME49_205320	N/A	hypothetical protein	TGME49_205320
TGME49_205330	N/A	hypothetical protein	TGME49_205330
TGME49_205340	RPS12	ribosomal protein RPS12	TGME49_205340
TGME49_205350	N/A	integral membrane protein, GNS1/SUR4 family protein, putative	TGME49_205350
TGME49_205360	N/A	hypothetical protein	TGME49_205360
TGME49_205370	N/A	hypothetical protein	TGME49_205370
TGME49_205380	FBP1	fructose-1,6-bisphosphatase 1	TGME49_205380
TGME49_205390	N/A	hypothetical protein	TGME49_205390
TGME49_205398	N/A	DNA repair and recombination protein RAD54, putative	TGME49_205398
TGME49_205402	N/A	SNF2 family N-terminal domain-containing protein	TGME49_205402
TGME49_205410	N/A	RNA pseudouridine synthase superfamily protein	TGME49_205410
TGME49_205420	N/A	aspartate-semialdehyde dehydrogenase	TGME49_205420
TGME49_205425	N/A	hypothetical protein	TGME49_205425
TGME49_205430	N/A	isovaleryl-CoA dehydrogenase	TGME49_205430
TGME49_205440	N/A	CCT chaperonin gamma subunit	TGME49_205440
TGME49_205450	N/A	hypothetical protein	TGME49_205450
TGME49_205460	N/A	AN1 family Zinc finger domain-containing protein	TGME49_205460
TGME49_205470	N/A	translation elongation factor 2 family protein, putative	TGME49_205470
TGME49_205480	ISP4	IMC subcompartment protein ISP4	TGME49_205480
TGME49_205490	N/A	integral membrane protein, putative	TGME49_205490
TGME49_205500	UTP14	U3 small nucleolar RNA-associated protein 14, putative	TGME49_205500
TGME49_205510	N/A	nucleolar protein 5, putative	TGME49_205510
TGME49_205520	ApiAT5-2	apicomplexan amino acid transporter ApiAT5-2	TGME49_205520
TGME49_205530	N/A	hypothetical protein	TGME49_205530
TGME49_205540	N/A	DEAD/DEAH box helicase domain-containing protein	TGME49_205540
TGME49_205550	N/A	AGC kinase	TGME49_205550
TGME49_205558	N/A	NAC domain-containing protein	TGME49_205558
TGME49_205562	N/A	hypothetical protein	TGME49_205562
TGME49_205570	SAM50	sorting assembly machinery subunit SAM50	TGME49_205570
TGME49_205580	N/A	nuclear factor NF4	TGME49_205580
TGME49_205590	CEP131	centrosomal protein CEP131	TGME49_205590
TGME49_205600	N/A	zinc finger, C3HC4 type (RING finger) domain-containing protein	TGME49_205600
TGME49_205615	N/A	hypothetical protein	TGME49_205615
TGME49_205625	N/A	transporter, major facilitator family protein	TGME49_205625
TGME49_205630	N/A	hypothetical protein	TGME49_205630
TGME49_205640	N/A	hypothetical protein	TGME49_205640
TGME49_205650	AP2VIIA3	AP2 domain transcription factor AP2VIIa-3	TGME49_205650
TGME49_205658	N/A	F5/8 type C domain-containing protein	TGME49_205658
TGME49_205662	N/A	LCCL domain-containing protein	TGME49_205662
TGME49_205670	SFA2	striated fiber assemblin SFA2	TGME49_205670
TGME49_205680	N/A	hypothetical protein	TGME49_205680
TGME49_205690	N/A	hypothetical protein	TGME49_205690
TGME49_205700	N/A	cyclophilin precursor	TGME49_205700
TGME49_205710	N/A	lysine-tRNA ligase	TGME49_205710
TGME49_205720	N/A	Adenosine/AMP deaminase domain-containing protein	TGME49_205720
TGME49_205730	N/A	hypothetical protein	TGME49_205730
TGME49_205740	EMC1	ER membrane protein complex subunit 1, putative	TGME49_205740
TGME49_205750	SIN3	histone deacetylase complex subunit Sin3	TGME49_205750
TGME49_205760	N/A	membrane protein	TGME49_205760
TGME49_205770	N/A	hypothetical protein	TGME49_205770
TGME49_206290	N/A	hypothetical protein	TGME49_206290
TGME49_206300	N/A	hypothetical protein	TGME49_206300
TGME49_206310	N/A	prenyltransferase, UbiA family protein	TGME49_206310
TGME49_206320	N/A	hypothetical protein	TGME49_206320
TGME49_206330	N/A	PHD-finger domain-containing protein	TGME49_206330
TGME49_206340	N/A	hypothetical protein	TGME49_206340
TGME49_206350	N/A	ER-retrevial receptor Ter1p, putative	TGME49_206350
TGME49_206360	N/A	peptidyl-tRNA hydrolase domain-containing protein	TGME49_206360
TGME49_206380	N/A	hypothetical protein	TGME49_206380
TGME49_206390	N/A	checkpoint protein HUS1, putative	TGME49_206390
TGME49_206400	N/A	FAD binding domain of DNA photolyase domain-containing protein	TGME49_206400
TGME49_206415	MyoK	myosin K	TGME49_206415
TGME49_206430	FRM1	formin FRM1	TGME49_206430
TGME49_206440	N/A	cpw-wpc domain-containing protein	TGME49_206440
TGME49_206450	N/A	autophagy-related cysteine peptidase atg4, putative	TGME49_206450
TGME49_206460	N/A	hypothetical protein	TGME49_206460
TGME49_206470	PDHE3II	pyruvate dehydrogenase complex subunit PDH-E3II	TGME49_206470
TGME49_206480	SDH23	succinate dehydrogenase subunit SDH23	TGME49_206480
