bmdm_tpm	host_id	host_name
230.857046	Q3TW96	Uap1l1
230.7197869	Q8CJC5	Neurl3
230.4837341	Q8CGA3	Slc43a2
230.2942528	Q8R0X7	Sgpl1
229.6165988	P70195	Psmb7
228.6666822	P28667	Marcksl1
228.1657827	Q9QUM9	Psma6
228.0717593	Q8VDM4	Psmd2
227.7686141	Q9CZE3	Rab32
227.1930097	Q9JIY0	Plekho1
226.9613962	Q01853	Vcp
226.3825954	P97352	S100a13
225.8928587	P09450	Junb
225.5360582	Q9WU81	Slc37a2
225.4223575	O55135	Eif6
225.0437749	Q78IK2	Usmg5
224.5221655	Q8CFD4	Snx8
223.996912	O35955	Psmb10
223.017417	Q8R404	2410015M20Rik
222.3082895	P25118	Tnfrsf1a
221.5895575	Q9DC70	Ndufs7
220.8789126	P56183	Rrp1
220.6697345	P54841	Mafb
220.6333217	P31786	Dbi
220.6260569	P58059	Mrps21
220.387411	Q8BFX1	Rnf187
220.000071	P62075	Timm13
219.7006299	P82198	Tgfbi
219.5084205	P49722	Psma2
219.4853294	Q8CF66	Lamtor4
218.408822	Q8CFI2	Cdc34
218.3671472	P52503	Ndufs6
217.422536	Q9Z2U0	Psma7
217.2886778	P24668	M6pr
217.0930583	Q9R1P1	Psmb3
216.8692885	Q9CXX9	Cuedc2
216.5651704	P26369	U2af2
216.0734892	Q99N69	Lpxn
215.3573078	P97287	Mcl1
213.9575424	Q99KJ8	Dctn2
213.8100265	Q9D1B9	Mrpl28
212.5323413	Q9CQS8	Sec61b
212.4770151	Q02053	Uba1
212.269048	Q8R5J9	Arl6ip5
212.0729883	Q8BTZ4	Anapc5
211.6468036	Q9D1D4	Tmed10
211.3186738	O08915	Aip
210.7182684	P62192	Psmc1
210.0493872	A2AJI0	Map7d1
209.8300293	P62748	Hpcal1
209.6192731	Q9DBC7	Prkar1a
209.3256342	Q80UP3	Dgkz
208.8821407	P62309	Snrpg
208.4923291	P97370	Atp1b3
207.7220522	Q9Z0P5	Twf2
207.6266393	Q08857	Cd36
207.5486668	O70469	Dok2
207.1935937	Q9CQ18	Rnaseh2c
206.8351995	Q5SYL3	2610507B11Rik
205.8168994	P41241	Csk
205.6012892	Q8VCT3	Rnpep
205.4797742	Q3U1J4	Ddb1
204.4616101	Q9D0M3	Cyc1
204.2563329	Q9JME7	Trappc2l
204.2246179	Q8BGD9	Eif4b
204.1764471	Q8R081	Hnrnpl
204.1483238	P05202	Got2
203.9567932	Q9CR62	Slc25a11
203.9252047	Q921W0	Chmp1a
203.7490878	Q9CQD8	Atp6v0e
203.706495	O88958	Gnpda1
203.6587002	P82343	Renbp
203.4221676	Q78HU3	Mvb12a
203.2925866	O35683	Ndufa1
203.0005924	Q99K95	Rtfdc1
202.6980148	Q60648	Gm2a
202.5919452	Q8C4X1	Stra13
202.0652842	O35643	Ap1b1
201.6142407	Q8VEH3	Arl8a
200.8030027	Q9CQW1	Ykt6
200.7878317	P80314	Cct2
200.7139264	Q61470	Cd37
200.1117047	Q61508	Ecm1
199.8094171	Q99JH8	Kdelr1
199.7029067	Q8BQ30	Ppp1r18
199.4440875	Q9D0B0	Srsf9
199.0797192	P58389	Ppp2r4
199.0666253	Q8K2C7	Os9
199.0578266	Q9CQZ5	Ndufa6
198.9031197	Q9CQZ1	Hsbp1
198.6339618	Q91VH1	Adipor1
198.0346144	Q9CXV1	Sdhd
197.4035548	Q9CX86	Hnrnpa0
197.1395748	Q8R1M2	H2afj
196.6181282	P80316	Cct5
196.3998235	Q9CPV5	Pmf1
196.3002363	Q9Z2D8	Mbd3
196.2748111	Q99JW1	Abhd17a
196.2590389	Q9DCK3	Tspan4
195.278694	Q9QY73	Tmem59
195.252365	Q9D0M5	Dynll2
195.0496093	Q99JI6	Rap1b
194.7020993	Q9Z1R2	Bag6
194.4989375	Q8VDD5	Myh9
194.4898467	Q9CRB2	Nhp2
194.3651107	Q9EPB4	Pycard
194.3440469	Q9DC37	Mfsd1
194.2184546	Q501J2	Fam173a
194.0044901	O09005	Degs1
193.6094718	O08795	Prkcsh
193.5960735	Q3UJB0	Sf3b2
193.5916159	Q9D8N3	Tmem86a
193.1814273	Q9CWG1	Glipr1
193.168134	Q9CQ54	Ndufc2
193.1325311	Q9EPL0	Xylt2
193.0331728	O88712	Ctbp1
192.1897283	Q9DCJ7	Aurkaip1
192.0806647	P14152	Mdh1
192.0662352	Q924Z4	Cers2
192.0104743	Q4LDD4	Arap1
192.0038021	Q8JZQ9	Eif3b
191.985549	Q9CPQ3	Tomm22
191.903199	Q8BGH2	Samm50
191.6512001	Q91XC8	Dap
191.6327324	Q8K5B2	Mcfd2
191.4642423	Q9D0U6	Maf1
191.3575208	P24547	Impdh2
191.0891555	P12400	Ctla2b
190.9898788	Q9Z1D1	Eif3g
190.7870591	P48428	Tbca
190.5653844	P49138	Mapkapk2
189.6929668	Q8QZY1	Eif3l
188.7871185	Q3TAS6	Emc10
188.1588181	Q6NS82	Fam134a
187.8845756	P61164	Actr1a
187.2879465	P49935	Ctsh
186.8758249	P63271	Supt4a
186.8454599	Q8R3R8	Gabarapl1
186.8082112	P97449	Anpep
186.7890721	Q99KI0	Aco2
186.6465975	P16879	Fes
186.3992662	Q61451	Cd53
185.1887144	Q8K201	9530068E07Rik
185.1836122	Q8BGS2	Bola2
185.1615794	Q8BMT4	Nrros
185.1287595	Q9CY64	Blvra
184.9817475	O09131	Gsto1
184.9553385	Q8R4V1	Nfam1
184.7314585	Q8BVI4	Qdpr
184.6284735	Q6R891	Ppp1r9b
184.5555214	Q9JLJ5	Elovl1
184.4164423	P80313	Cct7
184.2709432	Q8R344	Ccdc12
184.2590205	O35972	Mrpl23
184.0222888	P61924	Copz1
183.017448	P97821	Ctsc
182.7778181	Q9CQ00	Tmem261
182.1278205	P10833	Rras
182.0809918	Q921E2	Rab31
182.0684716	P14824	Anxa6
181.7947192	Q99K48	Nono
181.7329253	Q80VQ0	Aldh3b1
181.6243072	Q9WV95	Phlda3
181.4943967	P97429	Anxa4
179.7634696	Q9QZ03	Slc39a1
179.6992455	P61205	Arf3
179.4788044	P15261	Ifngr1
179.2133226	Q64310	Surf4
179.0386076	P97450	Atp5j
178.8804327	O09126	Sema4d
178.7140878	P26443	Glud1
178.5393216	Q91VC3	Eif4a3
178.5176478	O88829	St3gal5
178.1050816	Q9D8X2	Ccdc124
178.079378	P61979	Hnrnpk
178.0717126	Q80SZ7	Gng5
177.813152	O88968	Tcn2
177.63066	Q9CPW5	Ssr2
177.5593532	P70290	Mpp1
177.393215	Q9WTL7	Lypla2
177.3176386	Q9Z0Y1	Dctn3
177.2845414	Q9JKF1	Iqgap1
177.253298	P70460	Vasp
177.2134566	Q99LY9	Ndufs5
177.1831141	Q9ERN0	Scamp2
176.8544443	Q9CQ45	Nenf
174.9167691	Q75VT8	AB124611
174.8322711	P12787	Cox5a
174.7623516	P49312	Hnrnpa1
174.0751074	P25801	Lmo2
173.8799961	P62245	Rps15a
173.807631	P60897	Shfm1
173.5374705	Q9DB05	Napa
173.482565	Q8BGB5	Limd2
173.3571382	O89013	Leprot
172.7072066	P58466	Ctdsp1
172.6462751	Q3UE31	5031439G07Rik
172.6349753	P27870	Vav1
172.5439998	P62196	Psmc5
172.4215621	P61620	Sec61a1
171.7583993	Q8C142	Ldlrap1
171.7452881	Q9Z1G4	Atp6v0a1
171.6260042	Q99N91	Mrpl34
171.211141	Q9CYQ5	Hcfc1r1
170.786135	O70200	Aif1
170.6528789	P04918	Saa3
170.3721955	Q8BXA5	Clptm1l
170.0719374	Q8CIE6	Copa
169.9038959	Q9D2R6	Coa3
169.8102672	P97484	Pirb
169.7104384	O35459	Ech1
169.588897	Q6NZJ6	Eif4g1
168.9875298	P10649	Gstm1
168.8068101	Q8R0I4	Tm2d2
168.7735658	Q91XE8	Tmem205
168.6662008	Q9CPW3	Mrpl54
168.508167	P27600	Gna12
168.4743233	P41136	Id2
168.3805054	Q8VCR3	Tmem242
167.9875434	Q8VDP6	Cdipt
167.6983557	Q9R1T2	Sae1
167.2617701	Q8R043	AI413582
166.4084456	Q8K3D3	Swi5
166.1637627	P70315	Was
165.9656072	Q9DA39	Tmbim4
165.9293293	Q3UBX0	Tmem109
164.7430164	Q9WVJ2	Psmd13
164.5734198	P55302	Lrpap1
164.5376676	P30285	Cdk4
163.9863161	P97371	Psme1
163.5617623	P21981	Tgm2
163.5576381	Q60714	Slc27a1
163.1790085	Q3TBD2	Hmha1
163.0805767	Q80Y14	Glrx5
162.4749359	Q3UIW5	Rnf10
162.3794935	Q60876	Eif4ebp1
162.2134753	P46061	Rangap1
161.9291769	Q8VDQ8	Sirt2
161.9246559	Q9JHJ3	0610031J06Rik
