gene_id	bzsub_A_expr	bzsub_B_expr	bzsub_C_expr	bzsub_D_expr	bzsub_E_expr
TGME49_240480	0.2091822897	0.07796270664	0.1261112711	0.2772789114	0.1832303196
TGME49_253780	0.01869160555	0.008530625515	0.05144022413	0.1844931161	0.01922458584
TGME49_224590	0.04604831778	0.146354483	0.08326119225	0.06690208477	0.02213454245
TGME49_259620	0.07489412659	0.02544693225	0.04959624398	0.02705412616	0.06514010244
TGME49_222280	0.09565844142	0.1553450571	0.1159202679	0.2454679879	0.1842221119
TGME49_252340	0.01676659042	0.05824311102	0.05581304363	0.0453656869	0.04482615548
TGME49_253750	0.2036230699	0.3231751369	0.2721537225	0.3526593253	0.1369332697
TGME49_289110	0.009552738339	0.0304213441	0.04489812182	0.0687402063	0.03643398861
TGME49_277090	0.05302562397	0.1035783752	0.1304405285	0.1131066029	0.01638892454
TGME49_275802	0.1164086418	0.1674257713	0.2002441227	0.2769724211	0.01453338861
TGME49_224950	0.2296099955	0.4506238573	0.3084653484	0.1950051981	0.1206917248
TGME49_208750	0.02313514442	0.04385482801	0.04479527245	0.1332101957	0.07414459796
TGME49_223150	0.009933723041	0.02317466679	0.04540822186	0.08548114893	0.01496471156
TGME49_317705	0.1594898144	0.1838757584	0.1544872489	0.2250964424	1.276206741
TGME49_234390	0.05286590946	0.1107873486	0.08613121844	0.1267421137	0.0500981547
TGME49_222000	0.05954043376	0.1623828424	0.0956267573	0.07871887088	0.01259871983
TGME49_224800	0.006360660315	0.01421675792	0.03752487264	0.07822686612	0.03885684769
TGME49_312590	0.05045283702	0.004671017201	0.01690480969	0.01622311229	0.176625503
TGME49_202980	0.03351656025	0.1087504571	0.05511409821	0.1068625698	0.01169612297
TGME49_304750	0.04369844683	0.07397451288	0.1302532991	0.1099481919	0
TGME49_209550	0.05303996411	0.0316579423	0.02198803107	0.01309336174	0
TGME49_203685	0.01293130069	0.1192304106	0.01907276136	0	0
TGME49_220380	0.1835506628	0.4480188341	0.2023472487	0.1068586045	0.1101226437
TGME49_241610	0.2832129724	0.2857924636	0.2320374943	0.02738932129	0.03978557293
TGME49_260570	0.08892894566	0.1545029654	0.1338199924	0.2024207599	0.09575799155
TGME49_211040	0.4169026495	0.1752675102	0.4922190031	1.061085129	1.413566443
