Gene ID	Fold Change (Avg)	Avg Ref
TGME49_207790	87.9	0.25
TGME49_207800	1.1	40.76
TGME49_207820	1.3	181.26
TGME49_207830	-1	73.85
TGME49_207840	1.8	1872.8
TGME49_207900	-2	39.55
TGME49_207910	-2.3	56.04
TGME49_207920	-2	31.41
TGME49_207930	-2.1	90.71
TGME49_207940	-1.5	37.28
TGME49_207950	-2.7	157.02
TGME49_207955	-3.9	2.84
TGME49_207960	-2.1	51.47
TGME49_207965	686.2	0.33
TGME49_207970	16	0.48
TGME49_207980	-1.8	24.66
TGME49_207990	1.2	35.72
TGME49_208010	-2	38.79
TGME49_208020	21.5	1.12
TGME49_208030	-1209.7	1080.06
TGME49_208040	-2.4	22.64
TGME49_208050	-1.8	12.63
TGME49_208070	-1.6	17.52
TGME49_208090	-1.3	8.63
TGME49_208200	-1.3	41.19
TGME49_208300	-2.2	119.99
TGME49_208310	-1.1	42.14
TGME49_208320	-1.7	39.99
TGME49_208330	1.1	0.06
TGME49_208340	-8.9	122.5
TGME49_208350	-1	73.54
TGME49_208360	1.1	14.59
TGME49_208370	-28	180.04
TGME49_208380	-41.7	18.37
TGME49_208390	-1.2	39.45
TGME49_208400	-24.2	32.77
TGME49_208410	-2.1	15.69
TGME49_208420	-1.9	79.39
TGME49_208430	1.8	19.74
TGME49_208440	1.7	252.31
TGME49_208450	-376.1	549.84
TGME49_208450	-376.1	549.84
TGME49_208490	1.1	30.01
TGME49_208500	-1.3	48.45
TGME49_208510	-1.4	16.27
TGME49_208530	-3.4	150.49
TGME49_208540	-1	22.08
TGME49_208550	-10.7	89.75
TGME49_208560	-2	142.72
TGME49_208570	-93.8	144.13
TGME49_208580	-1.6	56.02
TGME49_208590	-1	109.85
TGME49_208710	-2.6	20.98
TGME49_208718	-1.4	135.6
TGME49_208722	-1.2	130.96
TGME49_208730	-128.7	358.03
TGME49_208740	-1096.4	1060.38
TGME49_208750	-1	84.93
TGME49_208760	-2	0.38
TGME49_208770	1	0
TGME49_208780	1.1	87.29
TGME49_208790	-1.1	204.25
TGME49_208800	-1.6	102.21
TGME49_208810	63.3	0.61
TGME49_208820	-1	24.02
TGME49_208830	-298.6	217.4
TGME49_208842	-5.8	80.27
TGME49_208850	115.9	15.09
TGME49_208910	-7.1	17.06
TGME49_208970	2	55.89
TGME49_208980	-1.1	27.97
TGME49_208990	-1.2	24.85
TGME49_209000	-2.3	4.07
TGME49_209005	1	0
TGME49_209010	1.1	27.93
TGME49_209020	1.2	8.95
TGME49_209030	-1.1	4796.94
TGME49_209050	-1.4	46.12
TGME49_209060	-1.7	51.16
TGME49_209070	-2	83.34
TGME49_209080	-2.1	66.52
TGME49_209090	-2.2	172.34
TGME49_209095	-1.8	259.6
TGME49_209100	-2.2	119.14
TGME49_209108	-1.7	23.05
TGME49_209120	-1.6	186.78
TGME49_209130	-4.3	41.12
TGME49_209140	-1.7	128.15
TGME49_209150	-1.2	84.91
TGME49_209160	-1.9	128.91
TGME49_209170	-3.4	124.58
TGME49_209180	97.3	0.59
TGME49_209190	-1.5	46.2
TGME49_209200	-8.1	97.49
TGME49_209210	-1.1	41.64
TGME49_209240	-1.4	37.37
TGME49_209250	-5.7	247.22
TGME49_209260	1.3	522.53
TGME49_209270	1.2	6.64
TGME49_209280	1.2	18.3
TGME49_209290	2.3	1206.81
TGME49_209300	14.6	1.52
TGME49_209420	1.3	156.7
TGME49_209430	1.3	62.95
TGME49_209440	-1.7	16.44
TGME49_209450	-1.5	53.3
TGME49_209460	-1.5	27.26
TGME49_209470	413.2	1.19
TGME49_209490	-3.3	59.13
TGME49_209500	-2.2	24.89
TGME49_209510	2872.9	0.12
TGME49_209515	200.2	0.02
TGME49_209520	-2.2	14.25
TGME49_209530	-3.3	30.31
TGME49_209540	1.1	6.62
TGME49_209550	-1	12.04
TGME49_209560	21.1	0
TGME49_209570	-1.1	48.94
TGME49_209580	-2.1	39.19
TGME49_209583	4.7	0.34
TGME49_209585	2.1	0.11
TGME49_209590	1	0.26
TGME49_209600	-5	610.95
TGME49_209610	-7.2	3.08
TGME49_209620	-1.4	0.48
TGME49_209630	-1.1	18.39
TGME49_209640	1.4	11.69
TGME49_209650	-1.2	8.29
TGME49_209680	1.2	21.82
TGME49_209690	1.5	69.97
TGME49_209700	-1.3	153.14
TGME49_209705	1	0
TGME49_209710	1.1	68.66
TGME49_209720	1.6	304.99
TGME49_209730	-1.5	28.33
TGME49_209740	2.1	17.65
TGME49_209755	-1701.8	229.47
TGME49_209770	-1.4	7.64
TGME49_209780	1	0
TGME49_209790	1.4	21.76
TGME49_209800	1.5	94.3
TGME49_209810	-3.8	1.83
TGME49_209820	1.2	32.98
TGME49_209830	-2.3	7.71
TGME49_209850	1.5	55.38
TGME49_209860	2.6	42.05
TGME49_209870	1.1	28.92
TGME49_209890	-3.7	285.56
TGME49_209900	-1.3	107.75
TGME49_209910	-1	1924.08
TGME49_209920	-1.7	0.2
TGME49_209930	1.1	3.19
TGME49_209940	-1.5	28.01
TGME49_209945	-1.1	58.64
TGME49_209950	-1.9	730.3
TGME49_209960	1.7	43.12
TGME49_209970	-1.7	32.93
TGME49_209985	11.3	55.3
TGME49_210095	-6.4	2
TGME49_210100	1	0
TGME49_210210	490	0.02
TGME49_210230	-1.1	51
TGME49_210255	1.5	151.02
TGME49_210260	2229.4	0.19
TGME49_210270	-6.8	46.78
TGME49_210280	-1.2	58.81
TGME49_210300	-2.1	27.75
TGME49_210310	1.3	5.65
TGME49_210320	5.2	0.66
TGME49_210330	401.8	0.33
TGME49_210345	-1.9	7.27
TGME49_210360	-1.5	35.18
TGME49_210370	-146.4	547.63
TGME49_210380	-1.3	55.8
TGME49_210390	1.2	25.94
TGME49_210400	811.4	0.05
TGME49_210408	-1.6	2556.83
TGME49_210412	-3.9	52.34
TGME49_210420	-8.1	165.28
TGME49_210430	-4.3	52
TGME49_210440	1.4	28.75
TGME49_210450	16	1.32
TGME49_210490	-1.3	46.94
TGME49_210600	-2.2	0.78
TGME49_210678	1	0
TGME49_210682	2.3	59.95
TGME49_210690	2	2039.75
TGME49_210700	-4.2	9.07
TGME49_210715	1	39.88
TGME49_210730	-1.4	44.35
TGME49_210740	275.3	0.51
TGME49_210750	2.9	13.26
TGME49_210760	1.2	36.66
TGME49_210770	1.7	0
TGME49_210778	-1.3	93.74
TGME49_210781	-2.1	13.64
TGME49_210783	1	0.15
TGME49_210787	1	24.9
TGME49_210790	-1.3	57.67
TGME49_210800	1.8	60.29
TGME49_210810	-1.3	245.92
TGME49_210815	1	0
TGME49_210820	-15.2	88.55
TGME49_210830	1.6	13.32
TGME49_210840	2.1	97.77
TGME49_210950	-1.8	0.31
TGME49_210960	-1.1	92.57
TGME49_210970	1	0
TGME49_210975	1	0.19
TGME49_210980	1.2	64.18
TGME49_211010	-1.1	33.26
TGME49_211020	-1.4	58.38
TGME49_211030	-2.6	609.98
TGME49_211040	-1.1	911.57
TGME49_211050	22.1	0.13
TGME49_211060	1	88
TGME49_211080	2.5	0.07
TGME49_211090	-1.1	46.85
TGME49_211150	-2.9	23.28
TGME49_211220	-1.7	21.56
TGME49_211230	-2.3	72.8
TGME49_211240	-1.2	65.34
TGME49_211250	-2	170.91
TGME49_211260	-16.7	557.06
TGME49_211270	5.3	3.76
TGME49_211280	46.5	2.65
TGME49_211290	-1251	1164.87
TGME49_211300	-1.2	20.78
TGME49_211310	-1.9	17.69
TGME49_211320	10.5	0.4
TGME49_211330	2.4	7.03
TGME49_211340	-12.1	33.57
TGME49_211350	-1.8	25
TGME49_211360	353.1	0.04
TGME49_211385	13.4	0.28
TGME49_211390	1.3	26.57
TGME49_211400	1.3	11.75
TGME49_211410	1.6	29.14
TGME49_211420	-1.4	404.84
TGME49_211420	-1.4	404.84
TGME49_211430	17	0.44
TGME49_211440	-1.3	29.46
TGME49_211450	-1.2	19.52
TGME49_211460	-22.1	76.63
TGME49_211470	1.6	14.45
TGME49_211480	-1.7	19
TGME49_211600	-4.3	15.4
TGME49_211610	-4.7	12.75
TGME49_211630	-87	266.66
TGME49_211640	-2.1	20.93
TGME49_211650	-8.2	47.86
TGME49_211670	-2.4	196.88
TGME49_211675	1.1	1.46
TGME49_211680	1.2	3413.96
TGME49_211690	1.3	38.8
TGME49_211695	-1.7	13.54
TGME49_211700	-1.3	21.2
TGME49_211710	-1.1	405.91
TGME49_211720	-2.5	75.42
TGME49_211730	1.3	38.8
TGME49_211850	-18	360.47
TGME49_211860	2.7	51.78
TGME49_211870	-1.1	21.72
TGME49_211890	1	5.69
TGME49_211910	3.2	2.41
TGME49_211920	1	0
TGME49_212030	1	0.02
TGME49_212075	341.2	0.05
TGME49_212090	-2.5	35.42
TGME49_212100	1.5	8.61
TGME49_212110	1.3	6.35
TGME49_212130	-1.5	48.13
TGME49_212140	1	21.91
TGME49_212150	-2.5	32.89
TGME49_212160	10.8	1.91
