gene_id	gene_name	previous_ids	product
PF3D7_0200300	N/A	Previous IDs: PF02_0003;PFB0020c	erythrocyte membrane protein 1 (PfEMP1), exon 2
PF3D7_0200400	N/A	Previous IDs: PF02_0004;PFB0025c	stevor
PF3D7_0200500	RIF	Previous IDs: PF02_0005;PFB0030c	rifin
PF3D7_0200600	RIF	Previous IDs: PF02_0006;PFB0035c	rifin
PF3D7_0200700	RIF	Previous IDs: PF02_0007;PFB0040c	rifin
PF3D7_0200800	N/A	Previous IDs: PF02_0008;PFB0045c	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0200900	N/A	Previous IDs: PF02_0009;PFB0050c	stevor, pseudogene
PF3D7_0201000	RIF	Previous IDs: PF02_0010;PFB0055c	rifin
PF3D7_0201100	N/A	Previous IDs: PF02_0011;PFB0056c	Plasmodium exported protein, unknown function, fragment
PF3D7_0201200	RIF	Previous IDs: PF02_0012;PFB0060w	rifin
PF3D7_0201300	N/A	Previous IDs: PF02_0013;PFB0065w	stevor
PF3D7_0201400	N/A	Previous IDs: PF02_0014;PFB0070w	Plasmodium exported protein (hyp10), unknown function
PF3D7_0201500	N/A	Previous IDs: PF02_0015;PFB0075c	Plasmodium exported protein (hyp9), unknown function
PF3D7_0201600	RLP1	Previous IDs: PF02_0016;PFB0080c	PHISTb domain-containing RESA-like protein 1
PF3D7_0201700	N/A	Previous IDs: PF02_0017;PFB0085c	DnaJ protein, putative
PF3D7_0201800	KAHsp40	Previous IDs: PF02_0018;PFB0090c	knob associated heat shock protein 40
PF3D7_0201900	EMP3	Previous IDs: PF02_0019;PFB0095c	erythrocyte membrane protein 3
PF3D7_0202000	KAHRP	Previous IDs: PF02_0020;PFB0100c	knob-associated histidine-rich protein
PF3D7_0202100	LSAP2	Previous IDs: PF02_0021;PFB0105c	liver stage associated protein 2
PF3D7_0202200	PTP1	Previous IDs: PF02_0022;PFB0106c	EMP1-trafficking protein
PF3D7_0202300	N/A	Previous IDs: PF02_0023;PFB0110w	Plasmodium exported protein (hyp11), unknown function
PF3D7_0202400	PTEF	Previous IDs: PF02_0024;PFB0115w	translation-enhancing factor
PF3D7_0202500	ETRAMP2	Previous IDs: PF02_0025;PFB0120w	early transcribed membrane protein 2
PF3D7_0202600	N/A	Previous IDs: PF02_0026;PF3D7_0202600.1;PF3D7_0202600.2;PFB0125c	nucleic acid-binding protein, putative
PF3D7_0202600	N/A	Previous IDs: PF02_0026;PF3D7_0202600.1;PF3D7_0202600.2;PFB0125c	nucleic acid-binding protein, putative
PF3D7_0202700	OPP	Previous IDs: PF02_0027;PFB0130w	octaprenyl pyrophosphate synthase
PF3D7_0202800	N/A	Previous IDs: PFB0135w	conserved Plasmodium protein, unknown function
PF3D7_0202900	DHHC12	Previous IDs: PF02_0028;PFB0140w	palmitoyltransferase DHHC12, putative
PF3D7_0203000	ROPE	Previous IDs: PF02_0029;PFB0145c	repetitive organellar protein, putative
PF3D7_0203100	N/A	Previous IDs: PF02_0030;PFB0150c	protein kinase, putative
PF3D7_0203200	N/A	Previous IDs: PF02_0030;PFB0150c;PFB0151c	conserved Plasmodium protein, unknown function
PF3D7_0203300	ERCC1	Previous IDs: PF02_0031;PFB0160w	ERCC1 nucleotide excision repair protein, putative
PF3D7_0203400	N/A	Previous IDs: PF02_0032;PFB0161c	conserved protein, unknown function
PF3D7_0203500	N/A	Previous IDs: 1400.pre-tRNA-Gln-1;MAL2_tRNA.Gln1;MAL2_tRNA.Gln1:tRNA	tRNA Glutamine
PF3D7_0203600	N/A	Previous IDs: PF02_0033;PFB0170w	conserved Plasmodium protein, unknown function
PF3D7_0203700	MAK16	Previous IDs: PF02_0034;PFB0175c	protein MAK16, putative
PF3D7_0203800	N/A	Previous IDs: 1400.t00202;1400.t00265;PF02_0035;PF02_0036;PFB0176c;PFB0177c	WD repeat-containing protein, putative
PF3D7_0203900	N/A	Previous IDs: PF02_0037;PFB0180w	5'-3' exonuclease, putative
PF3D7_0204000	CAPH2	Previous IDs: PF02_0038;PFB0185w	condensin-2 complex subunit H2, putative
PF3D7_0204100	N/A	Previous IDs: PF02_0039;PFB0190c	Sel1 repeat-containing protein, putative
PF3D7_0204200	SEC66	Previous IDs: PF02_0040;PFB0194w	translocation protein SEC66, putative
PF3D7_0204300	N/A	Previous IDs: PF02_0041;PFB0195c	conserved Plasmodium protein, unknown function
PF3D7_0204400	N/A	Previous IDs: PFB0196c	dynein light chain, putative
PF3D7_0204500	AspAT	Previous IDs: PF02_0042;PFB0200c	aspartate transaminase
PF3D7_0204600	N/A	Previous IDs: PF02_0043;PFB0205c	5'-3' exonuclease, putative
PF3D7_0204700	HT1	Previous IDs: PF02_0044;PFB0210c	hexose transporter
PF3D7_0204800	N/A	Previous IDs: PF02_0045;PFB0215c	3'-5' exonuclease, putative
PF3D7_0204900	COQ5	Previous IDs: PF02_0046;PFB0220w	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative
PF3D7_0205000	N/A	Previous IDs: PF02_0047;PFB0225c	conserved Plasmodium protein, unknown function
PF3D7_0205100	N/A	Previous IDs: PF02_0048;PFB0227c;PFB0230c	conserved Plasmodium protein, unknown function
PF3D7_0205200	N/A	Previous IDs: PF02_0048;PFB0230c	MORN repeat protein, putative
PF3D7_0205300	N/A	Previous IDs: PF02_0049;PFB0235w	conserved Plasmodium protein, unknown function
PF3D7_0205400	N/A	Previous IDs: PF02_0050;PFB0240w	PCI domain-containing protein, putative
PF3D7_0205500	N/A	Previous IDs: PF02_0051;PFB0245c	DNA-directed RNA polymerase II 16 kDa subunit, putative
PF3D7_0205600	N/A	Previous IDs: PF02_0052;PFB0250w	conserved Plasmodium protein, unknown function
PF3D7_0205700	N/A	Previous IDs: 1400.t00249;1400.t00268;PF02_0053;PF02_0054;PF3D7_0205700.1;PF3D7_0205700.2;PFB0255w;PFB0256w	RNA-binding protein, putative
PF3D7_0205700	N/A	Previous IDs: 1400.t00249;1400.t00268;PF02_0053;PF02_0054;PF3D7_0205700.1;PF3D7_0205700.2;PFB0255w;PFB0256w	RNA-binding protein, putative
PF3D7_0205800	PH1	Previous IDs: PFB0257c	PH domain-containing protein, putative
PF3D7_0205900	RPN1	Previous IDs: PF02_0055;PFB0260w	26S proteasome regulatory subunit RPN1, putative
PF3D7_0206000	RAD2	Previous IDs: PF02_0056;PFB0265c	DNA repair protein RAD2, putative
PF3D7_0206100	SufE	Previous IDs: PF02_0057;PFB0270w	cysteine desulfuration protein SufE
PF3D7_0206200	PAT	Previous IDs: PF02_0058;PFB0275w	pantothenate transporter
PF3D7_0206300	AROM	Previous IDs: PF02_0059;PF02_0060;PF3D7_0206400;PFB0279w;PFB0280w	pentafunctional AROM polypeptide, putative, pseudogene
PF3D7_0206500	N/A	Previous IDs: PF02_0061;PFB0285c	conserved Plasmodium protein, unknown function
