Gene ID	Score
TGME49_320480	89.4255
TGME49_301140	72.3888
TGME49_239890	53.2802
TGME49_291860	75.6518
TGME49_247620	43.6091
TGME49_248210	74.8255
TGME49_251510	46.5373
TGME49_220340	7.409
TGME49_308830	53.2096
TGME49_310380	16.5713
TGME49_257580	21.2673
TGME49_255700	46.4194
TGME49_277080	81.5455
TGME49_500104	10.3031
TGME49_286485	62.4578
TGME49_283790	2.9914
TGME49_309060	70.1109
TGME49_315130	43.5768
TGME49_216800	20.5083
TGME49_232210	46.3891
TGME49_225460	26.1836
TGME49_225005	61.0975
TGME49_234610	48.1971
TGME49_214130	30.4296
TGME49_201670	75.1017
TGME49_265250	4.2839
TGME49_239410	58.638
TGME49_246910	27.1883
TGME49_286630	43.923
TGME49_285825	29.0166
TGME49_310760	18.2158
TGME49_287470	3.5746
TGME49_254120	64.8201
TGME49_254200	32.0618
TGME49_313300	36.1746
TGME49_231990	29.0848
TGME49_316360	33.1332
TGME49_270840	20.0028
TGME49_200280	4.7504
TGME49_230060	26.3832
TGME49_268610	29.587
TGME49_280510	35.7461
TGME49_205190	65.9076
TGME49_320110	22.0321
TGME49_318700	39.9215
TGME49_210787	49.2167
TGME49_279390	65.4984
TGME49_292275	68.2905
TGME49_239910	3.3639
TGME49_220600	31.6862
TGME49_283820	43.0566
TGME49_308590	20.6632
TGME49_309090	20.6138
TGME49_500388	10.6076
TGME49_310250	28.2449
TGME49_311850	4.9214
TGME49_216750	62.0809
TGME49_255220	120.9861
TGME49_249215	35.3323
TGME49_220460	3.5553
TGME49_285470	6.5679
TGME49_262140	50.2456
TGME49_258470	80.5911
TGME49_272540	18.1571
TGME49_272475	36.7643
TGME49_209490	49.0044
TGME49_225370	3.0209
TGME49_215560	8.0257
TGME49_227090	7.1936
TGME49_234490	23.6595
TGME49_236030	35.6513
TGME49_313240	21.1665
TGME49_316120	5.3127
TGME49_218810	35.2801
TGME49_248740	76.3348
TGME49_283590	32.3557
TGME49_310640	44.5058
TGME49_274090	47.4202
TGME49_260140	30.4622
TGME49_230820	50.7388
TGME49_263450	35.5509
TGME49_209180	22.0101
TGME49_209240	34.7393
TGME49_236010	59.2999
TGME49_214580	37.6633
TGME49_500054	93.1272
TGME49_301890	3.1655
TGME49_206490	29.4882
TGME49_281600	30.3021
TGME49_320750	45.1289
TGME49_221818	44.9698
TGME49_222390	48.1411
TGME49_320220	28.2148
TGME49_222030	22.4592
TGME49_297780	22.4308
TGME49_210420	16.7912
TGME49_218450	3.4088
TGME49_213030	81.4613
TGME49_286240	66.2231
TGME49_284040	6.7743
TGME49_312270	97.9775
