gene_id	surface_apicoplast_log2fc	surface_apicoplast_stringent	surface_mitochondrion_log2fc	surface_mitochondrion_stringent	surface_er_log2fc	surface_er_stringent
TGME49_293180	5.906890596	0	6.087462841	0	6.22881869	0
TGME49_293360	0.6374299206	0	1.134301092	0	0.7831886109	0
TGME49_293590	3.459431619	0				
TGME49_294220	5.403722186	1			2.115477217	0
TGME49_294360	3.36923381	0			4.68182404	0
TGME49_294610	3.544320516	0	5.129283017	0	1.115477217	0
TGME49_294630	3.115477217	0	3.273018494	0	2.736965594	0
TGME49_294730	3.700439718	0				
TGME49_294740	2.222392421	0				
TGME49_295000	2.321928095	0				
TGME49_295110	0.1699250014	0	0.7078192485	0	0.8194277544	0
TGME49_295125	-0.2294818461	0	0.4854268272	0	0.5145731728	0
TGME49_295360	1.054447784	0	1.378511623	0	1.547487795	0
TGME49_295650	2.736965594	1			4.321928095	1
TGME49_296010	5	0	3.36923381	0	2.415037499	0
TGME49_297060	3.222392421	0			2.938599455	0
TGME49_297330	4.321928095	1			2.736965594	0
TGME49_297745	6.741466986	1			6.824428435	1
TGME49_300000	1.070389328	0	0.09953567355	0	1.321928095	0
TGME49_300060	3.273018494	1				
TGME49_300100	2.321928095	0	2.415037499	0	2.874469118	0
TGME49_300120	5.564784619	1	5.333900737	0	4.544320516	0
TGME49_300200	1.938599455	0	1.938599455	0	1.137503524	0
TGME49_300260	3.544320516	0	3.321928095	0	3.169925001	0
TGME49_301410	2.415037499	0				
TGME49_301420	1.152003093	0	0.8624964763	0	0.8744691179	0
TGME49_301440	4.392317423	1	3.841302254	1	3.700439718	0
TGME49_304630	3.415037499	0	3.459431619	0	5.273018494	0
TGME49_304650	1.415037499	0				
TGME49_304670	2.502500341	0	3.115477217	0	0.7655347464	0
TGME49_304710	2	0				
TGME49_305140	4.058893689	0				
TGME49_305160	3.115477217	0	0.6780719051	0	1.5360529	0
TGME49_305450	3.906890596	1			5.403722186	0
TGME49_305520	0.8194277544	0	1.289506617	0	1.321928095	0
TGME49_305980	4.169925001	0				
TGME49_306030	2.222392421	0	1.440572591	0	3.841302254	0
TGME49_306060	1.628031223	0	3.409390936	0	1.041820176	0
TGME49_306660	2.662965013	0	4.169925001	0		
TGME49_307040	2.415037499	0				
TGME49_308090	0.8667334691	0	0.3479233034	0	1.243925583	0
TGME49_308860	0.822001698	0	0.7237902054	0	0.9577717646	0
TGME49_309120	0.3536369546	0	-0.3325753391	0	0.8875252707	0
TGME49_309370	5.26052755	1				
TGME49_309560	2.222392421	0				
TGME49_309580	2.938599455	1				
TGME49_309600	2.807354922	1				
TGME49_309820	0.7004397181	0	0.6438561898	0	0.716207034	0
TGME49_310080	4.772589504	1				
TGME49_310190	5.129283017	0	4.222392421	0		
TGME49_310220	3.624490865	0	3	0	3.700439718	0
TGME49_310250	2.584962501	1				
TGME49_310270	3.502500341	1				
TGME49_310320	1.874469118	0				
TGME49_310440	1.584962501	0	2.432959407	0	1.530514717	0
TGME49_310490	0.7884958948	0	2	0		
TGME49_310802	2	1				
TGME49_311080	3.624490865	1				
TGME49_311230	1.227068909	0	2.290102649	0	2.022839976	0
TGME49_311400	5.63420602	1	1.736965594	0	5.029747343	0
TGME49_311470	3.273018494	0	2.584962501	0	2.502500341	0
TGME49_311720	2.180937994	0	2.676110389	0	3.860596943	0
TGME49_312660	3.115477217	1				
TGME49_313080	3	1			5.68182404	0
TGME49_313230	2.502500341	0	2.502500341	0	3.222392421	0
TGME49_313270	3.169925001	0	3	0	1.874469118	0
TGME49_313310	1.736965594	1				
TGME49_313380	0.5235619561	0	1.101879614	0	0.7865963619	0
TGME49_313540	2.736965594	0				
TGME49_313640	1.874469118	1				
TGME49_313670	3.502500341	0			2.222392421	0
TGME49_313790	2.874469118	0				
TGME49_314070	1.584962501	0			2.115477217	0
TGME49_314970	2.502500341	0			5.309855263	1
TGME49_315860	4.95419631	0	4.564784619	0		
TGME49_316340	0.5145731728	0	0.6520766966	0	0.7744402996	0
TGME49_316400	0.8073549221	0	0.5474877953	0	0.8155754289	0
TGME49_318460	2.662965013	1			4.222392421	0
TGME49_318510	3.736965594	1	3.058893689	0	2.415037499	0
TGME49_318710	4.36923381	0	3.841302254	0	3.807354922	0
TGME49_319560	1.527247003	0	0.963474124	0	0.8259706002	0
TGME49_319740	2	1				
TGME49_320000	2.415037499	0			1.584962501	0
TGME49_320030	1.874469118	0	2	0	1.078002512	0
TGME49_320050	2.050626073	0	0.3785116233	0	2.874469118	0
TGME49_320480	2.584962501	1	2.584962501	0	2.415037499	0
TGME49_320550	1.415037499	0				
TGME49_320690	2.662965013	0	2.115477217	0	2.874469118	0
TGME49_321590	3.584962501	1				
TGME49_321620	6.459431619	0	4.273018494	0	3.584962501	0
TGME49_321640	2.874469118	0				
TGME49_321680	2.222392421	0			2.222392421	0
TGME49_500179	3.841302254	0				
TGME49_500183	3.807354922	0	3.700439718	0	3.624490865	0
TGME49_500302	3.222392421	0				
TGME49_204160			5.029747343	0		
TGME49_205320			2.502500341	0	2.736965594	0
TGME49_205558			1.736965594	0	2	0
TGME49_205570			2.874469118	0		
TGME49_209160			4.718818247	1	2.321928095	0
TGME49_209190			4.294620749	1		
TGME49_209260			2.415037499	0		
TGME49_209720			3.415037499	1		
TGME49_209790			2.115477217	0		
TGME49_212100			2.874469118	1		
TGME49_213610			5.247927513	1	4.437405312	1
TGME49_214990			2.321928095	0		
TGME49_215430			2.482392767	1	1.874469118	0
TGME49_216900			4.772589504	1	2	0
TGME49_219550			2.222392421	1		
TGME49_219630			2.871485259	1	5.029747343	1
TGME49_219690			2	0	2.502500341	0
TGME49_219710			2.522226745	1	5.087462841	0
TGME49_221470			2.502500341	0		
TGME49_222230			3.273018494	0		
TGME49_224530			2.321928095	0	1.874469118	0
TGME49_225020			2.415037499	0		
TGME49_225260			2.874469118	0		
TGME49_226220			2.807354922	0		
TGME49_226590			2.115477217	0		
TGME49_227000			3.502500341	0		
TGME49_227450			1.736965594	0		
TGME49_228470			2.222392421	0	1.736965594	0
TGME49_228770			4.222392421	1		
TGME49_229630			5.691161905	0	4.437405312	0
TGME49_229640			2.415037499	0		
TGME49_229920			3.169925001	1		
TGME49_231190			3.584962501	1	2.584962501	0
TGME49_231930			4.36923381	1		
TGME49_232350			2.584962501	0	1.736965594	0
TGME49_234505			3	0	2.415037499	0
TGME49_234510			3.624490865	1		
TGME49_238190			2.736965594	0		
TGME49_239330			0.7369655942	0		
TGME49_239400			4.502500341	0	1.836501268	0
TGME49_239410			2.662965013	0		
TGME49_239800			1.874469118	0		
TGME49_240050			4.196397213	1		
TGME49_242580			4.502500341	0	2.321928095	0
TGME49_242700			2.115477217	0		
TGME49_243250			2.736965594	0	1.222392421	0
TGME49_243490			2	0		
TGME49_244350			2.754887502	0	2.584962501	0
TGME49_244600			4.345774837	1	2.222392421	0
TGME49_245640			2.222392421	0		
TGME49_246720			2.222392421	0		
TGME49_247600			1.874469118	0		
TGME49_247770			3.115477217	1		
TGME49_248510			3.169925001	0		
TGME49_248520			2.584962501	1		
TGME49_249320			2.807354922	0		
TGME49_250700			2.807354922	0		
TGME49_253060			2	0		
TGME49_255440			3.807354922	1	1.584962501	0
TGME49_256030			2.137503524	0	0.8930847961	0
TGME49_256090			2.736965594	0		
TGME49_257990			1.115477217	0		
TGME49_258540			3.169925001	1		
TGME49_258860			3.36923381	0		
TGME49_260670			1.415037499	0		
TGME49_262050			0.7369655942	0		
TGME49_262640			2.584962501	1		
TGME49_264040			2.502500341	1		
TGME49_265180			4.437405312	1	2.415037499	0
TGME49_265850			4.169925001	0		
TGME49_266630			3.058893689	0		
TGME49_267090			2.447458977	1	2.415037499	0
TGME49_267390			1.584962501	0	1.584962501	0
TGME49_270865			4.297680549	0		
TGME49_270940			2.115477217	0		
TGME49_271970			2.321928095	0	1	0
TGME49_272270			3	0		
TGME49_272520			3.169925001	0		
TGME49_273140			2	0		
TGME49_273640			4.321928095	0	1.874469118	0
TGME49_276990			2	0		
TGME49_278740			2.807354922	1	3.169925001	0
TGME49_278990			2.222392421	1		
TGME49_279100			0.5849625007	0		
TGME49_280730			3.906890596	1		
TGME49_286530			2.502500341	0		
TGME49_288510			2.222392421	0		
TGME49_288830			2	0		
TGME49_289600			1.874469118	0	2.222392421	0
TGME49_289820			4.087462841	0	1.415037499	0
TGME49_290920			1.584962501	0		
TGME49_291590			3.700439718	0		
TGME49_291980			4.196397213	0		
TGME49_292920			1.584962501	0		
TGME49_294200			1	0	2.222392421	0
TGME49_294790			1.736965594	0		
TGME49_297180			2	0		
TGME49_297810			3.874469118	0	1.415037499	0
TGME49_299168			3.584962501	0		
TGME49_301120			1.874469118	0		
TGME49_305480			2.688055994	0	3.874469118	0
TGME49_306590			2.115477217	0		
TGME49_310470			2.662965013	1		
TGME49_310640			1.222392421	0	2.115477217	0
TGME49_311860			2.736965594	0		
TGME49_312050			1.415037499	0		
TGME49_312600			1.874469118	0	2.222392421	0
TGME49_313280			4.345774837	0		
TGME49_313480			3	0		
