gene_id	chromprox_hp1_log2fc	chromprox_hp1_hit	chromprox_h3k27ac_log2fc	chromprox_h3k27ac_hit	chromprox_h3k4me3_log2fc	chromprox_h3k4me3_hit	chromprox_centromere_log2fc	chromprox_centromere_hit
PF3D7_0416400	2.73322	1	1.71535	1	0.50473	0	0.287608	0
PF3D7_1334500	-0.456233	0	-0.468369	0	-0.00138474	0	0.0539844	0
PF3D7_0914500	-0.0927944	0	-0.856907	0	-0.0201391	0	-0.649792	0
PF3D7_1218500	-0.257917	0	-0.451426	0	-0.376509	0		
PF3D7_1241200	-0.0799446	0	0.0954393	0	0.0416533	0	-0.00501614	0
PF3D7_1308900	-0.240756	0	-0.336441	0	0.074796	0	-0.69649	0
PF3D7_0501800	1.39818	0	0.819822	0	0.323472	0	0.540136	0
PF3D7_0815800	-0.588327	0	-0.731806	0	-0.362012	0	-0.695575	0
PF3D7_1147300	0.116921	0	1.50674	1	0.428043	0	0.591236	0
PF3D7_0310300	-0.221135	0	0.159863	0	0.111536	0	-0.164763	0
PF3D7_0605100	0.027174	0	0.773718	0	0.35847	0	0.456791	0
PF3D7_0812500	0.0423724	0	0.936593	0	0.562609	0	0.293669	0
PF3D7_1325400	-0.0111275	0	-0.881978	0	-0.146091	0	-0.410123	0
PF3D7_1364200	-0.505091	0	-0.405309	0	-0.109625	0	-0.153765	0
PF3D7_0823300	0.562918	0	1.82266	1	0.742808	0	0.220681	0
PF3D7_0202000	-1.14605	0	-0.871142	0	-0.119001	0	0.071313	0
PF3D7_0629200	0.158091	0	0.189523	0	-0.0505848	0	-0.0613648	0
PF3D7_1346400	-0.286031	0	-0.126394	0	0.168977	0	-0.722152	0
PF3D7_0831700	-0.580955	0	-0.343654	0	-0.101263	0	0.042325	0
PF3D7_1138700	0.449073	0	-0.47003	0	-0.23097	0	-0.561177	0
PF3D7_1464600	-0.112087	0	0.120177	0	-0.0503845	0	0.0709618	0
PF3D7_0608800	-0.104577	0	-0.32143	0	-0.227794	0	-0.0821143	0
PF3D7_1229500	-0.317677	0	-0.428527	0	-0.045489	0	-0.152993	0
PF3D7_1006800	-0.52903	0	-0.297649	0	-0.00593185	0	0.05208	0
PF3D7_1451800	-0.0100129	0	-0.139671	0	-0.166779	0	-0.121893	0
PF3D7_0306800	-0.258206	0	-0.241418	0	-0.0859006	0	-0.544922	0
PF3D7_0805700	0.430605	0	0.286021	0	0.157907	0	-0.283836	0
PF3D7_0401800	-0.454322	0	-0.279341	0	-0.202011	0	-0.00879378	0
PF3D7_1027300	-0.776705	0	-0.432606	0	-0.432469	0	0.205962	0
PF3D7_1312800	-0.0148315	0	-0.2743	0	0.0506541	0	-0.787682	0
PF3D7_1230800	-0.0517159	0	0.60672	0	0.239796	0	0.27877	0
PF3D7_1347500	-0.140644	0	-0.219156	0	-0.143342	0	-0.0782028	0
PF3D7_0726400	-0.387048	0	0.0154521	0	-0.281726	0	-0.777528	0
PF3D7_1227700	0.297627	0	-1.13077	0	-0.562431	0	-0.59048	0
PF3D7_0813000	0.250999	0	-0.179668	0	-0.0840664	0	-0.453321	0
PF3D7_0532400	-0.530399	0	-0.304509	0	-2.47955e-05	0	0.196953	0
PF3D7_1473700	-0.0963345	0	-0.500593	0	-0.165994	0	0.397	0
PF3D7_0817300	-0.10556	0	0.63475	0	0.453931	0	0.754577	0
PF3D7_0527000	0.0998427	0	0.265752	0	0.138662	0	0.184024	0
PF3D7_1433500	-0.0661068	0	0.653779	0	0.233803	0	0.956716	0
