gene_id	gametocyte_proteome_log2	gametocyte_newly_made
PF3D7_0522900	13.19267142	1
PF3D7_0523000	19.14749313	0
PF3D7_0523100	19.20691022	0
PF3D7_0523300	13.67983413	0
PF3D7_0523400	15.08718518	1
PF3D7_0523500	11.64595258	0
PF3D7_0523600	17.02144271	1
PF3D7_0523800	12.79380717	0
PF3D7_0524000	20.19366091	0
PF3D7_0524300	13.97754826	1
PF3D7_0524400	15.85330793	0
PF3D7_0524600	14.20189928	0
PF3D7_0524700	16.55866883	0
PF3D7_0524800	14.67255241	0
PF3D7_0525100	19.09997185	0
PF3D7_0525400	14.91651708	0
PF3D7_0525900	15.21690118	0
PF3D7_0526200	13.45191082	0
PF3D7_0526800	12.45382277	0
PF3D7_0526900	15.44269841	0
PF3D7_0527000	19.1916392	0
PF3D7_0527100	19.31754878	1
PF3D7_0527200	16.95209661	0
PF3D7_0527500	19.26610481	1
PF3D7_0527600	14.48375911	1
PF3D7_0528000	14.55254503	0
PF3D7_0528100	16.14643078	1
PF3D7_0528200	18.70620033	0
PF3D7_0528400	13.94548042	0
PF3D7_0528500	14.52457232	0
PF3D7_0528700	20.20510833	1
PF3D7_0528900	14.83722713	0
PF3D7_0529000	17.18552719	1
PF3D7_0529400	13.17846619	0
PF3D7_0529500	16.36569192	0
PF3D7_0530000	18.42338815	0
PF3D7_0530100	15.50357007	0
PF3D7_0530200	15.28245984	0
PF3D7_0530600	12.77269121	0
PF3D7_0532300	12.7477713	0
PF3D7_0601600	15.20699906	1
PF3D7_0601900	13.97137889	0
PF3D7_0602000	15.7181627	1
PF3D7_0602100	15.10802071	1
PF3D7_0602200	16.77701682	1
PF3D7_0602500	13.96107281	0
PF3D7_0602600	10.82615651	0
PF3D7_0603100	15.490478	0
PF3D7_0603300	16.88670081	1
PF3D7_0603400	11.80106837	0
PF3D7_0603500	14.86125334	0
PF3D7_0603600	12.99069905	0
PF3D7_0603900	13.94833377	0
PF3D7_0604000	14.23015557	0
PF3D7_0604500	13.45264236	0
PF3D7_0605100	14.76707403	0
PF3D7_0605300	14.35328239	0
PF3D7_0605400	15.66435932	0
PF3D7_0605600	15.14860766	1
PF3D7_0605900	17.98140562	1
PF3D7_0606000	12.72460906	0
PF3D7_0606100	12.63079116	0
PF3D7_0606200	16.55885515	0
PF3D7_0606600	14.51683266	0
PF3D7_0606700	17.35697631	0
PF3D7_0606800	14.00752374	0
PF3D7_0606900	18.18442017	1
PF3D7_0607000	15.52595201	1
PF3D7_0607100	15.09429216	1
PF3D7_0607200	13.29118845	0
PF3D7_0607300	11.62689538	0
PF3D7_0607400	15.39583422	0
PF3D7_0607600	14.38927954	1
PF3D7_0608000	12.88141481	0
PF3D7_0608310	16.80173783	1
PF3D7_0608400	15.76961404	0
PF3D7_0608500	20.0862857	0
PF3D7_0608600	17.769571	0
PF3D7_0608700	20.12439145	0
PF3D7_0608800	22.87232669	0
PF3D7_0608900	13.46189719	0
PF3D7_0609000	13.35607593	0
PF3D7_0609400	11.04580743	0
PF3D7_0609500	14.61420371	0
PF3D7_0609800	15.4754284	1
PF3D7_0610200	14.78303403	0
PF3D7_0610400	16.0661761	0
PF3D7_0610500	13.11388213	0
PF3D7_0610600	13.91811474	0
PF3D7_0610800	20.81822536	0
PF3D7_0610900	13.20491649	0
PF3D7_0611300	17.95987745	1
PF3D7_0611400	14.47954241	0
PF3D7_0611700	13.19131579	0
PF3D7_0611900	14.93332643	0
PF3D7_0612100	16.31169156	0
PF3D7_0612700	15.24678018	1
PF3D7_0612800	14.97728291	0
PF3D7_0612900	13.48753442	0
PF3D7_0613500	13.20308489	1
PF3D7_0613700	14.52883866	0
PF3D7_0614000	13.28214246	0
PF3D7_0614400	13.67450126	0
PF3D7_0614500	18.06953019	0
PF3D7_0614600	12.62253157	0
PF3D7_0614900	13.10479311	0
PF3D7_0615100	13.0813697	0
PF3D7_0615500	13.95580124	0
PF3D7_0615700	13.8363134	0
PF3D7_0615800	14.15880164	0
PF3D7_0616000	12.98478811	0
PF3D7_0616200	12.18070277	0
PF3D7_0616700	11.27558329	0
PF3D7_0616800	18.55500346	0
PF3D7_0616900	9.902048449	0
PF3D7_0617000	16.1274053	0
PF3D7_0617200	15.8154817	1
PF3D7_0617300	17.02621723	0
PF3D7_0617800	16.27708394	1
PF3D7_0617900	18.82567207	1
PF3D7_0618100	13.26235133	0
PF3D7_0618200	16.93843865	1
PF3D7_0618300	18.54206202	0
PF3D7_0618500	21.6201518	0
PF3D7_0618600	15.22852812	0
PF3D7_0618700	15.35024975	0
PF3D7_0619000	14.641873	1
PF3D7_0619400	20.96482593	0
PF3D7_0619500	16.47788209	1
PF3D7_0619700	13.02443904	0
PF3D7_0619900	13.81772417	0
PF3D7_0620100	18.43165947	0
PF3D7_0620500	12.86960734	0
PF3D7_0620600	13.79581645	0
PF3D7_0621100	18.39964788	0
PF3D7_0621200	21.33389237	0
PF3D7_0621800	17.89520644	1
PF3D7_0621900	15.87454356	1
PF3D7_0622000	12.1901395	0
PF3D7_0622100	13.02938444	0
PF3D7_0622500	13.33897217	0
PF3D7_0622600	13.4736677	0
PF3D7_0622800	17.84309296	0
PF3D7_0623000	15.20757999	0
PF3D7_0623100	14.92661722	1
PF3D7_0623500	17.07378593	0
PF3D7_0623600	13.5186761	0
PF3D7_0623900	16.18306283	1
PF3D7_0624000	20.75968829	0
PF3D7_0624600	15.31304362	1
PF3D7_0624700	12.7303923	0
PF3D7_0624900	14.42511316	0
PF3D7_0625300	16.35970839	0
PF3D7_0625600	12.43778848	0
PF3D7_0625700	17.02679358	1
PF3D7_0626100	16.16729269	1
PF3D7_0626200	14.15669671	0
PF3D7_0626400	12.33952993	0
PF3D7_0626500	15.88948416	0
PF3D7_0626600	12.95833823	0
PF3D7_0626700	20.10270706	0
PF3D7_0626800	22.04338892	0
PF3D7_0627000	16.46789367	1
PF3D7_0627100	13.6541176	1
PF3D7_0627300	13.93695073	0
PF3D7_0627400	12.98594805	0
PF3D7_0627500	21.39002232	0
PF3D7_0627600	13.55590321	0
PF3D7_0627700	17.85577287	1
PF3D7_0627800	15.19583483	0
PF3D7_0628000	14.64324179	1
PF3D7_0628200	13.64579726	0
PF3D7_0628300	16.05607599	1
PF3D7_0628600	13.62367577	0
PF3D7_0629000	13.5169582	0
PF3D7_0629100	16.70722925	0
PF3D7_0629200	18.43750556	1
PF3D7_0629400	15.1003831	0
PF3D7_0629500	15.76980428	0
PF3D7_0629800	15.45691799	0
PF3D7_0629900	13.90176256	0
PF3D7_0630300	15.36860081	0
PF3D7_0630400	13.35772198	0
PF3D7_0630500	14.3789902	0
PF3D7_0630600	15.57286895	1
PF3D7_0630800	15.17230509	0
PF3D7_0702300	12.60250943	0
PF3D7_0702400	17.30747359	1
PF3D7_0702500	13.7053732	0
PF3D7_0702900	15.793019	0
PF3D7_0703000	13.20533559	0
PF3D7_0703100	13.92704334	0
PF3D7_0703300	12.41239695	0
PF3D7_0703500	16.56570506	0
PF3D7_0703800	17.32707599	1
PF3D7_0704400	14.11632771	1
PF3D7_0704600	15.06727889	1
PF3D7_0705100	11.97567484	0
PF3D7_0705300	14.47908131	0
PF3D7_0705400	18.63494573	0
PF3D7_0705500	13.23401604	0
PF3D7_0706000	17.79416199	0
PF3D7_0706400	15.98356592	1
PF3D7_0706700	17.1037659	1
PF3D7_0707200	13.50559511	0
PF3D7_0707400	14.79993758	0
PF3D7_0707700	13.65739289	0
PF3D7_0708000	15.35230901	0
PF3D7_0708100	13.05458962	1
PF3D7_0708300	15.00949187	0
PF3D7_0708400	22.48734301	0
PF3D7_0708700	17.69610949	0
PF3D7_0708800	21.39356154	0
PF3D7_0708900	15.08941324	0
PF3D7_0709000	15.64200091	1
PF3D7_0709100	12.18899469	1
PF3D7_0709200	15.09505494	0
PF3D7_0709300	13.22380966	0
PF3D7_0709500	13.7381908	0
PF3D7_0709700	15.24701887	0
PF3D7_0710100	15.38122748	0
PF3D7_0710600	18.33512135	0
PF3D7_0711000	14.02360998	0
PF3D7_0711300	16.38305454	0
PF3D7_0711500	16.79080665	1
PF3D7_0713400	14.00215281	0
PF3D7_0713500	15.81184127	0
PF3D7_0713700	18.36216073	0
PF3D7_0714000	19.80290285	0
PF3D7_0714100	13.58596637	0
PF3D7_0714200	13.71093196	0
PF3D7_0714400	14.34844693	0
PF3D7_0714500	16.91842459	1
PF3D7_0715000	17.02005395	1
PF3D7_0715100	15.38498493	0
PF3D7_0715300	13.54533053	0
PF3D7_0715500	18.29338782	0
PF3D7_0715600	13.28098144	0
PF3D7_0715800	15.33399272	0
PF3D7_0715900	15.08343223	0
PF3D7_0716000	13.46909867	0
PF3D7_0716300	10.89735893	0
PF3D7_0716400	12.76326701	0
PF3D7_0716800	17.6513554	1
PF3D7_0717100	13.7757543	0
PF3D7_0717300	12.19901484	0
PF3D7_0717400	11.47861122	0
PF3D7_0717500	21.16065397	0
PF3D7_0717700	18.7905235	0
PF3D7_0717900	13.8434402	0
PF3D7_0718000	14.34501939	0
PF3D7_0718500	17.83713923	1
PF3D7_0718700	12.26447583	0
PF3D7_0719000	16.07480628	0
PF3D7_0719100	12.26504946	0
PF3D7_0719200	18.1549005	1
PF3D7_0719400	13.51066116	0
PF3D7_0719500	14.51844211	1
PF3D7_0719600	16.86312153	0
PF3D7_0719700	18.61583435	1
PF3D7_0719900	14.05284255	0
PF3D7_0720000	13.66810937	0
PF3D7_0720200	15.75743602	0
PF3D7_0720400	18.38281116	1
PF3D7_0720500	13.24927792	0
PF3D7_0720700	13.72775953	1
PF3D7_0720800	16.82217661	1
PF3D7_0720900	15.79479067	0
PF3D7_0721100	14.0105485	0
PF3D7_0721400	17.37877746	1
PF3D7_0721600	18.76772971	0
PF3D7_0721700	20.54473872	0
PF3D7_0721800	11.39381766	0
PF3D7_0722100	13.63446319	0
PF3D7_0722400	19.55154931	1
PF3D7_0722500	13.99183773	0
PF3D7_0722700	17.80989789	0
PF3D7_0723000	15.66898006	1
PF3D7_0723200	15.88251887	1
PF3D7_0723500	14.88319535	0
PF3D7_0723600	13.07068393	1
PF3D7_0723800	12.31665394	0
PF3D7_0723900	13.55472873	0
PF3D7_0724200	13.90262007	0
PF3D7_0724300	14.71265596	0
PF3D7_0724400	15.19628834	0
PF3D7_0724500	14.00835567	0
PF3D7_0724800	13.79543768	0
PF3D7_0725200	14.0323873	1
PF3D7_0726300	13.87978425	0
PF3D7_0726500	14.99853167	1
PF3D7_0726600	13.26551201	0
PF3D7_0726800	14.44928838	0
PF3D7_0726900	16.27891765	0
PF3D7_0727000	12.33895268	0
PF3D7_0727200	15.28474941	1
PF3D7_0727400	19.89237432	0
PF3D7_0727800	15.54344272	1
PF3D7_0728000	17.30755956	0
PF3D7_0728200	15.00580435	0
PF3D7_0728400	13.08814281	0
PF3D7_0728500	14.64189745	0
PF3D7_0728600	14.45746211	1
PF3D7_0728900	11.01991731	0
PF3D7_0729000	13.69889273	0
PF3D7_0729200	15.07977226	0
PF3D7_0729300	11.14584301	0
PF3D7_0729400	11.57646388	0
PF3D7_0729800	14.35576402	0
PF3D7_0729900	16.32213296	1
PF3D7_0730000	12.20301146	0
PF3D7_0730200	14.44013812	0
