gene_id	fit_complete_medium_2025	fit_no_glutamine	fit_no_glucose	fit_glucose_dependence	fit_glucose_dependence_fdr
TGGT1_243710	-2.645713973	-3.653148709	-3.653148709	0.01687571179	1
TGGT1_232060	0.4691649256	0.3910259986	0.4023693347	0.0169539654	1
TGGT1_215400	-1.81977294	-0.517546261	-0.5315911727	0.01793616214	1
TGGT1_297725	0.6229060715	-0.2046243939	-0.1721355729	0.01793853209	1
TGGT1_232035	1.704613235	0.4550281998	0.4760190886	0.01812921656	1
TGGT1_293500	-0.2371251548	0.1964242858	0.2496392063	0.01849946197	1
TGGT1_220890	2.816469243	0.5387177228	0.5673793873	0.01860039015	1
TGGT1_267130	0.4546246054	0.1067130401	0.1402897178	0.01860262446	1
TGGT1_218760	-3.579654969	-4.318067813	-4.318067813	0.01867826301	1
TGGT1_240630	1.217205494	0.2514305405	0.271592723	0.01880833151	1
TGGT1_258010	0.472296482	-0.0291381678	0.01173131126	0.01888251616	1
TGGT1_295300	1.04415315	0.4119699442	0.4368199777	0.0192150509	1
TGGT1_226870A	-2.791737387	-4.310144683	-4.310144683	0.01926127432	1
TGGT1_212145	-0.5025598979	-0.3955413378	-0.3820373917	0.01926219396	1
TGGT1_319700	0.4256665938	0.3343327033	0.3484600374	0.01946948864	1
TGGT1_216680	0.6511945354	0.5329749046	0.5500010747	0.01953433024	1
TGGT1_206310	-2.247997613	-0.86683188	-0.8980455291	0.01954589486	1
TGGT1_297495	1.711909473	0.2595460603	0.2934400214	0.01955903897	1
TGGT1_278400	1.329522351	0.4096723884	0.4391416623	0.01961913583	1
TGGT1_231840	1.264411243	0.3612992392	0.393295902	0.01972503325	1
TGGT1_315210	-0.04319026718	0.03775320938	0.05679831548	0.01984047746	1
TGGT1_261740	2.075047661	0.3195521005	0.361800682	0.01999094504	1
TGGT1_224740	0.2140296112	-0.04686644975	-0.000490325468	0.02000700941	1
TGGT1_295850	-0.810038119	-0.01408184426	0.03741455556	0.02055145758	1
TGGT1_264700	0.8630106199	0.2849744952	0.3084117655	0.02057629923	1
TGGT1_208400A	-0.2894134982	-0.6233642798	-0.4983160739	0.02067627751	1
TGGT1_230667	-0.02419792896	0.1621356865	0.1827275217	0.02068618011	1
TGGT1_309080	-1.692116647	-0.1261639265	-0.1107476716	0.02074563436	1
TGGT1_255420	1.718874593	0.313816267	0.3409873385	0.02084165017	1
TGGT1_313000	1.016725652	0.3383592502	0.3529852151	0.020944805	1
TGGT1_213460	1.302133688	0.4406372618	0.4735374616	0.02097702103	1
TGGT1_258210	-3.240251713	-3.852272076	-3.852272076	0.02098838277	1
TGGT1_269425	1.208342977	0.5155812888	0.5423383044	0.02154339073	1
TGGT1_208080	0.349340663	0.7132988889	0.7257800174	0.02207308248	1
TGGT1_204510	1.847469172	0.2701796337	0.3045626314	0.02217378902	1
TGGT1_258040	1.189533982	0.5777781105	0.6005936983	0.02223858792	1
TGGT1_262730	0.8089319362	0.4911686239	0.5233619611	0.02232097945	1
TGGT1_269050	1.729681175	0.4782103736	0.4984650539	0.02245432264	1
TGGT1_310570	-0.881697086	-0.5326527079	-0.4889738036	0.02257110625	1
TGGT1_318730	-0.7958474234	0.3134619263	0.3537381763	0.02281371097	1
TGGT1_235500	0.7275352027	0.3034443964	0.3398071978	0.02284843719	1
TGGT1_217880	1.099846187	0.09191821677	0.1313432547	0.02298640255	1
TGGT1_221180	0.575115251	-1.632622021	-1.597708035	0.02308267652	1
TGGT1_219110	1.797053462	0.3480682148	0.389112697	0.02315148508	1
TGGT1_305190	0.2168678641	0.3442380041	0.3609409618	0.02320465043	1
TGGT1_217040	0.8624383935	0.1953447013	0.2047785327	0.02345612891	1
TGGT1_238130	0.9238269603	0.1170532718	0.1487519884	0.02362833822	1
TGGT1_295420	-0.1048256637	-2.083018268	-2.016937977	0.02382499393	1
TGGT1_229720	0.5670998215	0.2993474869	0.3148666073	0.0240880609	1
TGGT1_274000	-3.265533138	-3.025233856	-2.823916097	0.02423290186	1
TGGT1_267420	-3.684152214	-1.402334684	-1.637920415	0.02455095124	1
TGGT1_309300	1.356372809	0.05339025409	0.1073583532	0.02485835015	1
TGGT1_203780	-3.694547449	-1.75121454	-1.939839324	0.02491916327	1
TGGT1_214340	-0.960689226	-0.4272028942	-0.3731101821	0.02498731783	1
TGGT1_209440	0.8701687098	-0.6501931067	-0.5986363248	0.0251332092	1
TGGT1_231900	0.6605634622	0.05977759964	0.08706258749	0.02529018277	1
TGGT1_255895	0.8587181906	0.1444575386	0.1621912005	0.02537611877	1
TGGT1_276920	0.9925082737	0.4267283114	0.4598959294	0.02541123086	1
TGGT1_270360	0.08528392034	-0.615208376	-0.5919447679	0.02546594769	1
TGGT1_218580	0.1243467036	0.1835866321	0.2116238713	0.02552074149	1
TGGT1_227350	1.293914293	0.4558049704	0.4830143906	0.02552306306	1
TGGT1_311500	-3.102689766	-1.981782453	-1.957289615	0.02568161672	1
TGGT1_202740	0.05795360483	0.5018412384	0.5112739494	0.0257689442	1
TGGT1_270850	0.439324106	0.1358744429	0.1705292248	0.02581189093	1
TGGT1_231870	0.633191205	0.4859025921	0.5089990008	0.02592978398	1
TGGT1_271115	1.261219038	0.3257913692	0.3593582937	0.0260412212	1
TGGT1_309840	1.221585422	0.3128978204	0.3373339799	0.02612338909	1
TGGT1_245475	0.9636259898	0.4473678253	0.4764307372	0.02613630782	1
TGGT1_268620	0.9916328095	0.09569841493	0.1139202236	0.02628574188	1
TGGT1_306230	0.4179464577	0.2708961542	0.299719306	0.02636010602	1
TGGT1_293252	0.7182367112	0.2268027366	0.2591908404	0.02636880186	1
TGGT1_273472	1.202296722	0.3791942442	0.4068569319	0.02655695124	1
TGGT1_207875	1.384874246	0.4495663556	0.5243504349	0.02658132049	1
TGGT1_223940	-3.494155969	-2.454088099	-2.401225023	0.02673558616	1
TGGT1_320250	0.6409165049	0.3146412228	0.3487169615	0.02676093027	1
TGGT1_266950	0.6297438482	0.4103904216	0.4431495348	0.02727597118	1
TGGT1_204340	1.135078576	0.2444853524	0.2684492944	0.02759598478	1
TGGT1_204120	-1.781918683	-1.358264785	-1.444288058	0.02761741236	1
